epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.988,1.6823,2.4225,1.44657,0.71129,0.57074,0.60625,0.31861,1.50706,2.58596,1.45091,0.0671078,0.000332244,0.000332244
2,691.423,1.6181,1.6993,1.48058,0.59924,0.6378,0.64596,0.31075,1.56511,2.67742,1.50947,0.0341077,0.000665415,0.000665415
3,1048.64,1.61877,1.66879,1.48675,0.65909,0.57817,0.62941,0.34468,1.58281,1.73854,1.58764,0.00110687,0.000997935,0.000997935
4,1468.71,1.62986,1.59296,1.48991,0.80074,0.63196,0.69505,0.36664,1.63397,1.42669,1.56886,0.000997803,0.000997803,0.000997803
5,1790.75,1.55702,1.49337,1.43263,0.74989,0.68407,0.73057,0.40559,1.50508,1.2627,1.42837,0.000996097,0.000996097,0.000996097
6,2144.05,1.50302,1.38357,1.4062,0.84234,0.69981,0.75152,0.44167,1.45554,1.20096,1.44672,0.000993906,0.000993906,0.000993906
7,2480.5,1.49645,1.29968,1.37538,0.78204,0.65486,0.66756,0.38846,1.44687,1.41512,1.46769,0.000991232,0.000991232,0.000991232
8,2823.99,1.47119,1.2423,1.38113,0.81514,0.72059,0.76676,0.43746,1.45338,1.2159,1.43456,0.000988079,0.000988079,0.000988079
9,3158.12,1.41652,1.18378,1.33624,0.89644,0.7013,0.79234,0.45126,1.45449,1.15315,1.44326,0.000984449,0.000984449,0.000984449
10,3491.52,1.42061,1.15254,1.30759,0.8797,0.76373,0.83101,0.49069,1.36209,1.08182,1.38144,0.000980345,0.000980345,0.000980345
11,3829.72,1.36713,1.16352,1.29775,0.86643,0.74027,0.8234,0.50104,1.36525,1.01635,1.374,0.000975773,0.000975773,0.000975773
12,4173.26,1.35826,1.07695,1.29434,0.86768,0.75689,0.83676,0.49206,1.33349,1.03535,1.31555,0.000970736,0.000970736,0.000970736
13,4526.04,1.33635,1.05538,1.27886,0.86041,0.77505,0.83476,0.51908,1.31085,0.96707,1.33811,0.000965239,0.000965239,0.000965239
14,4875.34,1.35501,1.02807,1.28819,0.88098,0.80746,0.85661,0.52232,1.31539,0.89155,1.32594,0.000959289,0.000959289,0.000959289
15,5553.06,1.2987,0.9586,1.27,0.90409,0.78379,0.85716,0.53831,1.25372,0.89767,1.28121,0.000952889,0.000952889,0.000952889
16,5879.58,1.26502,0.93513,1.2405,0.91202,0.78392,0.86835,0.55129,1.2185,0.85543,1.27708,0.000946048,0.000946048,0.000946048
17,6204.56,1.26031,0.90726,1.23603,0.87705,0.843,0.88401,0.5509,1.26141,0.85023,1.30958,0.000938772,0.000938772,0.000938772
18,6544.93,1.2582,0.91487,1.25076,0.87664,0.84406,0.8616,0.53488,1.24574,0.85489,1.2718,0.000931067,0.000931067,0.000931067
19,7144.2,1.28728,0.9269,1.24964,0.85907,0.83951,0.86743,0.55832,1.21131,0.83373,1.25251,0.000922942,0.000922942,0.000922942
20,7893.99,1.24604,0.87162,1.22759,0.90313,0.83678,0.90682,0.56873,1.22207,0.78771,1.25271,0.000914405,0.000914405,0.000914405
21,8241.04,1.18775,0.81956,1.18926,0.88308,0.86024,0.90454,0.59173,1.1854,0.74569,1.23722,0.000905463,0.000905463,0.000905463
22,8899.74,1.17545,0.81407,1.17998,0.89282,0.83724,0.8782,0.5805,1.16292,0.7976,1.23571,0.000896127,0.000896127,0.000896127
