epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.357,1.79156,3.14525,1.48907,0.51386,0.37732,0.39468,0.23265,1.60127,2.60251,1.43659,0.0671078,0.000332244,0.000332244
2,199.947,1.63909,2.14856,1.40068,0.65455,0.54397,0.57831,0.32755,1.53503,1.82834,1.38202,0.0341077,0.000665415,0.000665415
3,295.57,1.59176,1.80169,1.40163,0.72064,0.60773,0.66953,0.38566,1.49264,1.57458,1.34147,0.00110687,0.000997935,0.000997935
4,386.894,1.55249,1.64651,1.3486,0.71027,0.58432,0.63411,0.36399,1.45132,1.51375,1.28868,0.000997803,0.000997803,0.000997803
5,476.246,1.51105,1.49569,1.30818,0.80393,0.66176,0.72746,0.41578,1.45663,1.3177,1.30509,0.000996097,0.000996097,0.000996097
6,570.985,1.48178,1.4208,1.30761,0.76853,0.69136,0.73243,0.43739,1.37779,1.26038,1.25301,0.000993906,0.000993906,0.000993906
7,661.948,1.46877,1.39844,1.26855,0.74529,0.6389,0.65361,0.38027,1.45478,1.82608,1.29524,0.000991232,0.000991232,0.000991232
8,755.02,1.4371,1.29633,1.2682,0.79631,0.71163,0.77188,0.45872,1.3667,1.28016,1.24078,0.000988079,0.000988079,0.000988079
9,846.126,1.40175,1.26011,1.22804,0.82229,0.69462,0.76179,0.45086,1.41055,1.22607,1.26746,0.000984449,0.000984449,0.000984449
10,936.811,1.39163,1.20856,1.21715,0.77804,0.75836,0.7768,0.47594,1.35325,1.22054,1.21417,0.000980345,0.000980345,0.000980345
11,1029.04,1.35717,1.17401,1.19574,0.81503,0.7557,0.77867,0.47032,1.35392,1.08402,1.22722,0.000975773,0.000975773,0.000975773
12,1121.77,1.37793,1.12511,1.2278,0.87322,0.76632,0.82383,0.50396,1.28904,1.01798,1.18066,0.000970736,0.000970736,0.000970736
13,1216.72,1.32408,1.11091,1.18935,0.84451,0.76067,0.83188,0.52756,1.23751,0.98717,1.13823,0.000965239,0.000965239,0.000965239
14,1308.77,1.34379,1.11399,1.20172,0.87802,0.7545,0.825,0.524,1.2366,1.02126,1.14833,0.000959289,0.000959289,0.000959289
