epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.97,1.74124,2.67887,1.44139,0.62602,0.5751,0.57577,0.31426,1.51636,1.7973,1.33069,0.0671078,0.000332244,0.000332244
2,329.441,1.58174,1.74757,1.34317,0.75748,0.62756,0.70305,0.40939,1.47404,1.45349,1.39061,0.0341077,0.000665415,0.000665415
3,495.585,1.57052,1.56777,1.40053,0.69295,0.59377,0.62503,0.36228,1.48429,1.48763,1.35832,0.00110687,0.000997935,0.000997935
4,650.277,1.58483,1.50289,1.37045,0.82214,0.66936,0.75632,0.43056,1.46367,1.24265,1.32899,0.000997803,0.000997803,0.000997803
5,801.678,1.52043,1.37119,1.32451,0.75148,0.66192,0.71391,0.41849,1.4248,1.43101,1.31802,0.000996097,0.000996097,0.000996097
6,963.697,1.46641,1.30073,1.29734,0.80429,0.70808,0.76678,0.44973,1.38322,1.38043,1.26524,0.000993906,0.000993906,0.000993906
7,1121,1.47467,1.26427,1.28951,0.81159,0.69635,0.78626,0.45717,1.40791,1.15657,1.28375,0.000991232,0.000991232,0.000991232
8,1283.6,1.41237,1.15522,1.26424,0.76856,0.73408,0.75359,0.43901,1.38688,1.33252,1.26885,0.000988079,0.000988079,0.000988079
9,1444.28,1.38851,1.15139,1.23879,0.72233,0.71692,0.73298,0.44465,1.36334,1.34991,1.26115,0.000984449,0.000984449,0.000984449
10,1604.43,1.37681,1.1168,1.21338,0.83467,0.74523,0.79047,0.46674,1.36164,1.16463,1.25445,0.000980345,0.000980345,0.000980345
11,1767.86,1.31736,1.09084,1.19438,0.8364,0.77952,0.82491,0.49764,1.33816,1.03757,1.25084,0.000975773,0.000975773,0.000975773
12,1933.96,1.35341,1.0437,1.21683,0.80857,0.76886,0.79446,0.49717,1.24685,1.03388,1.19002,0.000970736,0.000970736,0.000970736
13,2098.73,1.30798,1.01571,1.19222,0.86181,0.79776,0.85683,0.52188,1.26662,0.95313,1.18587,0.000965239,0.000965239,0.000965239
14,2257.87,1.32467,0.99919,1.20692,0.87309,0.78325,0.85125,0.52499,1.25672,0.97033,1.20129,0.000959289,0.000959289,0.000959289
15,2425.35,1.27202,0.94881,1.18496,0.86286,0.78474,0.83065,0.52555,1.23619,0.9545,1.17172,0.000952889,0.000952889,0.000952889
16,2578.41,1.25328,0.96947,1.14972,0.88788,0.81256,0.86318,0.53911,1.2263,0.93532,1.17493,0.000946048,0.000946048,0.000946048
17,2731.49,1.25612,0.94516,1.16829,0.87149,0.78845,0.84006,0.54201,1.21342,0.91891,1.17079,0.000938772,0.000938772,0.000938772
18,2889.46,1.21044,0.89682,1.14456,0.84266,0.81338,0.80755,0.5077,1.18143,1.00463,1.13778,0.000931067,0.000931067,0.000931067
19,3050.24,1.24968,0.91435,1.15334,0.88337,0.86403,0.8996,0.57036,1.17711,0.86452,1.14152,0.000922942,0.000922942,0.000922942
20,3207.78,1.22183,0.86216,1.14313,0.91918,0.80509,0.88302,0.57549,1.15194,0.8246,1.11462,0.000914405,0.000914405,0.000914405
21,3369.32,1.17302,0.82553,1.1197,0.92499,0.80693,0.88816,0.5666,1.17998,0.81219,1.15341,0.000905463,0.000905463,0.000905463
22,3526.16,1.16463,0.83505,1.11135,0.89331,0.83869,0.88148,0.58019,1.14755,0.79397,1.12513,0.000896127,0.000896127,0.000896127
23,3679.48,1.19817,0.86284,1.12471,0.8756,0.83758,0.87048,0.57183,1.1559,0.82539,1.12398,0.000886404,0.000886404,0.000886404
24,3839.94,1.19228,0.83923,1.11574,0.90788,0.83921,0.88764,0.57901,1.16304,0.81993,1.12631,0.000876305,0.000876305,0.000876305
25,4001.45,1.18084,0.81731,1.11491,0.90146,0.83213,0.88822,0.59295,1.13309,0.76939,1.11943,0.000865839,0.000865839,0.000865839
26,4163.96,1.13637,0.7804,1.10611,0.93457,0.84084,0.89824,0.58871,1.13639,0.75793,1.11076,0.000855018,0.000855018,0.000855018
27,4317.91,1.16531,0.82216,1.09241,0.89296,0.84896,0.88933,0.58133,1.14693,0.79823,1.11445,0.000843851,0.000843851,0.000843851
28,4470.8,1.11,0.75578,1.07598,0.89226,0.8636,0.90262,0.60006,1.13227,0.71641,1.10887,0.000832349,0.000832349,0.000832349
29,4634.45,1.08504,0.71973,1.08091,0.91723,0.8635,0.9176,0.62091,1.08137,0.68095,1.08823,0.000820525,0.000820525,0.000820525
30,4788.05,1.09774,0.73999,1.06136,0.89753,0.86295,0.89879,0.60695,1.0826,0.74572,1.08109,0.000808389,0.000808389,0.000808389
31,4947.04,1.10553,0.76885,1.08295,0.90916,0.85379,0.90214,0.60825,1.08662,0.73483,1.09201,0.000795954,0.000795954,0.000795954
32,5108.59,1.07229,0.71976,1.0713,0.91043,0.8865,0.90973,0.59471,1.11761,0.72324,1.11115,0.000783231,0.000783231,0.000783231
33,5263.65,1.05656,0.72765,1.05645,0.92197,0.88,0.91136,0.61422,1.09691,0.68526,1.09221,0.000770234,0.000770234,0.000770234
34,5416.06,1.05819,0.70381,1.06485,0.94341,0.88041,0.91763,0.60801,1.10625,0.68851,1.09715,0.000756976,0.000756976,0.000756976
35,5571.86,1.04242,0.66748,1.03394,0.92745,0.86288,0.89853,0.59925,1.12325,0.67026,1.09119,0.000743468,0.000743468,0.000743468
36,5730.37,1.04833,0.66501,1.05322,0.95309,0.8882,0.93217,0.63315,1.07004,0.66432,1.07048,0.000729725,0.000729725,0.000729725
37,5891.61,1.02851,0.6678,1.04805,0.95761,0.90089,0.94176,0.65354,1.02045,0.63385,1.05433,0.000715761,0.000715761,0.000715761
38,6056.74,1.0206,0.66316,1.03695,0.94086,0.86024,0.92416,0.62233,1.03405,0.65052,1.068,0.000701588,0.000701588,0.000701588
39,6206.06,1.02534,0.65693,1.03779,0.94025,0.87663,0.92898,0.63197,1.06814,0.64015,1.07795,0.000687222,0.000687222,0.000687222
40,6363.44,1.00453,0.63509,1.02527,0.94039,0.88235,0.93015,0.64028,1.03647,0.63304,1.0633,0.000672675,0.000672675,0.000672675
41,6523.56,1.02594,0.65287,1.03654,0.9532,0.89881,0.94115,0.65174,1.03209,0.61573,1.0734,0.000657963,0.000657963,0.000657963
42,6682.2,1.00442,0.64336,1.03389,0.95296,0.90561,0.94165,0.66483,1.00171,0.5814,1.06393,0.000643101,0.000643101,0.000643101
43,6837.63,0.99809,0.65177,1.03157,0.92809,0.90982,0.93245,0.64468,1.02745,0.61099,1.06647,0.000628101,0.000628101,0.000628101
44,6995.46,0.98325,0.6401,1.0246,0.96221,0.90102,0.93734,0.6491,1.00771,0.59258,1.05166,0.000612981,0.000612981,0.000612981
45,7148.3,0.97644,0.61082,1.01492,0.95308,0.8983,0.944,0.65595,1.01839,0.60504,1.05654,0.000597754,0.000597754,0.000597754
46,7300.42,0.96418,0.61337,1.00563,0.95323,0.87134,0.93319,0.64415,1.03222,0.61501,1.0638,0.000582435,0.000582435,0.000582435
47,7463.3,0.93668,0.60449,1.00963,0.95131,0.90158,0.94865,0.6642,0.99029,0.56198,1.04363,0.00056704,0.00056704,0.00056704
48,7620.27,0.92868,0.59643,0.99873,0.96077,0.88767,0.94472,0.65615,0.99528,0.56654,1.05094,0.000551584,0.000551584,0.000551584
49,7781.88,0.93798,0.57932,0.99675,0.94877,0.9075,0.95457,0.66731,0.99157,0.53917,1.05688,0.000536081,0.000536081,0.000536081
50,7937.2,0.92777,0.56825,0.98129,0.9614,0.90676,0.94856,0.67308,0.98007,0.54292,1.03843,0.000520548,0.000520548,0.000520548
51,8094.81,0.91849,0.55579,1.00337,0.94722,0.90669,0.94222,0.67368,0.95392,0.57569,1.01955,0.000505,0.000505,0.000505
52,8251.46,0.90753,0.56984,0.99182,0.94656,0.91085,0.9455,0.66988,0.95914,0.53969,1.03038,0.000489452,0.000489452,0.000489452
53,8403.51,0.91891,0.56562,0.97805,0.95427,0.91463,0.95152,0.68159,0.94907,0.53755,1.02296,0.000473919,0.000473919,0.000473919
54,8565.47,0.88021,0.54303,0.98492,0.93491,0.92465,0.95413,0.68731,0.94703,0.52809,1.02417,0.000458416,0.000458416,0.000458416
55,8723.73,0.88208,0.53509,0.97617,0.96135,0.89963,0.95562,0.69702,0.90202,0.50249,1.00791,0.00044296,0.00044296,0.00044296
56,8882.37,0.87289,0.51526,0.96816,0.94299,0.91666,0.95409,0.68373,0.93404,0.51835,1.01759,0.000427565,0.000427565,0.000427565
57,9046.4,0.8869,0.54025,0.98381,0.95904,0.90644,0.95705,0.68377,0.9297,0.51386,1.02042,0.000412246,0.000412246,0.000412246
58,9204.46,0.8519,0.52162,0.97411,0.97339,0.89723,0.9471,0.68562,0.93197,0.50716,1.02616,0.000397019,0.000397019,0.000397019
59,9363.53,0.85781,0.52697,0.98719,0.96546,0.90758,0.94884,0.69269,0.96723,0.52638,1.03337,0.000381899,0.000381899,0.000381899
60,9523.88,0.85649,0.52587,0.96616,0.96404,0.91665,0.9529,0.69253,0.9127,0.4912,1.01937,0.000366899,0.000366899,0.000366899
61,9686.58,0.86858,0.51528,0.97815,0.95924,0.92368,0.95256,0.69988,0.91708,0.4934,1.01099,0.000352037,0.000352037,0.000352037
62,9847.21,0.84538,0.50717,0.95835,0.96277,0.90639,0.95706,0.70707,0.90197,0.4966,1.01104,0.000337325,0.000337325,0.000337325
63,10003.8,0.80438,0.49295,0.95536,0.9654,0.90997,0.95543,0.7045,0.88463,0.48286,1.00569,0.000322778,0.000322778,0.000322778
64,10160.8,0.83345,0.48932,0.96051,0.96459,0.9148,0.96255,0.69992,0.91306,0.4907,1.00864,0.000308412,0.000308412,0.000308412
65,10320.2,0.8373,0.50037,0.97023,0.97041,0.91543,0.96004,0.70713,0.88453,0.48122,0.9968,0.000294239,0.000294239,0.000294239
