epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.941,1.79585,2.81281,1.47196,0.50396,0.34143,0.3246,0.19008,1.68063,3.71585,1.57434,0.0672245,0.000331066,0.000331066
2,464.292,1.81543,2.18234,1.56181,0.4262,0.61102,0.35222,0.17417,1.75424,20.9197,1.65791,0.0342243,0.000664237,0.000664237
3,727.949,1.84238,2.14464,1.56448,0.36714,0.29758,0.34816,0.1868,1.72456,4.25003,1.69402,0.00122352,0.000996758,0.000996758
4,917.06,1.85418,1.97598,1.56543,0.68169,0.47885,0.50823,0.26004,1.69813,2.15122,1.64851,0.000997803,0.000997803,0.000997803
5,1102.29,1.83878,1.91566,1.56087,0.62919,0.39524,0.49488,0.25132,1.68761,2.01879,1.60829,0.000996097,0.000996097,0.000996097
6,1293.32,1.74036,1.73673,1.53713,0.54095,0.60731,0.55989,0.31051,1.6785,2.46912,1.56727,0.000993906,0.000993906,0.000993906
7,1494.8,1.71254,1.74474,1.52338,0.66331,0.64727,0.64797,0.37608,1.56853,1.67149,1.53621,0.000991232,0.000991232,0.000991232
8,1687.23,1.78401,1.70128,1.53139,0.79822,0.60047,0.66642,0.3698,1.62802,1.60969,1.54491,0.000988079,0.000988079,0.000988079
9,1883.02,1.71196,1.59594,1.49516,0.78173,0.66101,0.68363,0.38038,1.59958,1.50137,1.52217,0.000984449,0.000984449,0.000984449
10,2074.33,1.68442,1.55614,1.48197,0.75079,0.59137,0.65808,0.35213,1.60105,1.49259,1.52578,0.000980345,0.000980345,0.000980345
11,2351.7,1.68669,1.58605,1.45361,0.77253,0.63488,0.6571,0.34981,1.68693,1.53676,1.56494,0.000975773,0.000975773,0.000975773
12,2550.96,1.63684,1.46452,1.43486,0.77304,0.6521,0.71908,0.41057,1.54742,1.41508,1.47794,0.000970736,0.000970736,0.000970736
13,2747.63,1.5726,1.42027,1.45818,0.72848,0.68965,0.67304,0.37836,1.5462,1.7878,1.49186,0.000965239,0.000965239,0.000965239
14,2950.68,1.59008,1.38318,1.4507,0.71363,0.69266,0.70832,0.42245,1.48406,1.38071,1.45289,0.000959289,0.000959289,0.000959289
15,3139.66,1.57706,1.39871,1.42975,0.76536,0.69235,0.72691,0.42692,1.51656,1.44374,1.45152,0.000952889,0.000952889,0.000952889
16,3336.03,1.53596,1.34124,1.38485,0.76674,0.72645,0.75974,0.43799,1.53472,1.35912,1.47949,0.000946048,0.000946048,0.000946048
17,3520.15,1.56202,1.33224,1.37521,0.7976,0.68408,0.73208,0.42646,1.48629,1.38426,1.41335,0.000938772,0.000938772,0.000938772
18,3716.94,1.55984,1.29422,1.37576,0.82854,0.70108,0.75521,0.44979,1.46283,1.29395,1.39817,0.000931067,0.000931067,0.000931067
19,3900.57,1.51361,1.29034,1.36151,0.73012,0.74345,0.74773,0.44508,1.46936,1.27164,1.39277,0.000922942,0.000922942,0.000922942
20,4101.18,1.47728,1.21616,1.33392,0.81011,0.74842,0.75049,0.4531,1.44939,1.22508,1.38271,0.000914405,0.000914405,0.000914405
21,4401.95,1.46545,1.19863,1.32469,0.72902,0.75419,0.71345,0.41896,1.42879,1.44772,1.36086,0.000905463,0.000905463,0.000905463
22,4681.67,1.45451,1.19683,1.32618,0.85542,0.71575,0.79395,0.4754,1.44494,1.16593,1.39956,0.000896127,0.000896127,0.000896127
23,4881.58,1.4907,1.19544,1.32545,0.86351,0.66615,0.7864,0.45883,1.47133,1.23151,1.36503,0.000886404,0.000886404,0.000886404
24,5191.27,1.41863,1.11554,1.28952,0.87867,0.75822,0.82013,0.49301,1.40683,1.11988,1.34191,0.000876305,0.000876305,0.000876305
25,5365.46,1.4535,1.08929,1.30085,0.6947,0.76079,0.77354,0.46917,1.41768,1.17377,1.36696,0.000865839,0.000865839,0.000865839
