epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3615,2.39945,3.8076,2.13314,0,0,0,0,nan,nan,nan,0.0705556,0.0032716,0.0032716
2,191.622,2.51796,3.38958,2.22091,0,0,0,0,nan,nan,nan,0.0405539,0.00660332,0.00660332
3,285.375,2.47524,3.2836,2.25971,0.00241,0.16916,0.00184,0.00063,nan,nan,nan,0.0105458,0.00992856,0.00992856
4,375.73,2.37914,3.20196,2.18336,0.0007,0.0119,0.00019,5e-05,3.73494,18.6763,5.84623,0.00997803,0.00997803,0.00997803
5,466.868,2.34899,3.07533,2.1691,0.02392,0.40918,0.02013,0.00832,2.50869,59.8253,2.62029,0.00996097,0.00996097,0.00996097
6,556.488,2.34749,2.81855,2.20303,0.35143,0.18548,0.19507,0.09062,2.25087,34.8806,2.3311,0.00993906,0.00993906,0.00993906
7,646.868,2.30263,2.86546,2.17354,0.24016,0.16127,0.11391,0.06059,2.44673,17.0478,2.55043,0.00991232,0.00991232,0.00991232
8,734.979,2.20244,2.71528,2.12401,0.62815,0.2456,0.25862,0.1152,2.24043,5.38182,2.42498,0.00988079,0.00988079,0.00988079
9,825.652,2.16591,2.58979,2.05679,0.52995,0.29825,0.33727,0.18295,2.09452,32.9487,2.27001,0.00984449,0.00984449,0.00984449
10,914.817,2.12857,2.56886,2.00069,0.50281,0.53271,0.33862,0.14909,2.11155,10.056,2.1556,0.00980345,0.00980345,0.00980345
11,1004.82,2.14225,2.40196,2.02787,0.67985,0.35163,0.41762,0.20725,2.08919,2.81447,2.20859,0.00975773,0.00975773,0.00975773
12,1094.37,2.038,2.40666,2.00121,0.67661,0.40672,0.45721,0.20644,2.07877,2.84547,2.13623,0.00970736,0.00970736,0.00970736
13,1182.72,2.05649,2.39924,1.95923,0.63798,0.4365,0.48181,0.23967,2.00548,2.61687,2.08085,0.00965239,0.00965239,0.00965239
14,1271.17,2.02889,2.21157,1.92578,0.72743,0.48233,0.51529,0.27369,1.90567,2.60147,1.98045,0.00959289,0.00959289,0.00959289
15,1359.94,1.94217,2.02478,1.84758,0.69917,0.48059,0.54166,0.28799,1.84692,2.4751,1.94364,0.00952889,0.00952889,0.00952889
16,1448.83,1.99463,2.11475,1.87899,0.51109,0.55516,0.48213,0.22377,1.93254,2.39998,1.95593,0.00946048,0.00946048,0.00946048
17,1537.47,1.92634,2.03033,1.82123,0.70522,0.49539,0.54842,0.27451,1.88714,2.08733,1.91135,0.00938772,0.00938772,0.00938772
18,1625.69,1.89213,2.04787,1.83573,0.7485,0.46671,0.56142,0.29162,1.80185,2.20424,1.90301,0.00931067,0.00931067,0.00931067
19,1714.7,1.83454,1.90293,1.77252,0.75624,0.53125,0.61674,0.32475,1.76178,2.09017,1.83656,0.00922942,0.00922942,0.00922942
20,1811.45,1.85212,1.89589,1.77537,0.75512,0.55318,0.59826,0.30737,1.82883,1.80162,1.89317,0.00914405,0.00914405,0.00914405
21,1907.38,1.86448,1.90713,1.79619,0.67463,0.65619,0.63712,0.32558,1.83464,1.9677,1.87684,0.00905463,0.00905463,0.00905463
22,2004.35,1.83656,1.90969,1.79231,0.8175,0.53621,0.61816,0.32365,1.80313,1.69686,1.84459,0.00896127,0.00896127,0.00896127
23,2100.88,1.814,1.81761,1.75947,0.79712,0.62346,0.67426,0.35731,1.75163,1.5925,1.79291,0.00886404,0.00886404,0.00886404
24,2198.18,1.82532,1.85244,1.77379,0.83375,0.60452,0.68341,0.36523,1.74257,1.63708,1.83584,0.00876305,0.00876305,0.00876305
25,2294.94,1.79801,1.71984,1.74037,0.7407,0.59255,0.64958,0.36677,1.65581,1.65255,1.75246,0.00865839,0.00865839,0.00865839
26,2390.89,1.75426,1.71732,1.68245,0.78788,0.606,0.66166,0.37065,1.71384,1.66073,1.79816,0.00855018,0.00855018,0.00855018
27,2488.6,1.74114,1.73075,1.66838,0.73728,0.55627,0.6057,0.31786,1.77067,1.71403,1.83389,0.00843851,0.00843851,0.00843851
